technology;description;variable;value;comment
Waste Incineration;waste production per year;sigma_waste_y;100;
Waste Incineration;waste in to heat out efficiency;eta_waste_heat;72;in MWh per ton
Waste Incineration;waste in to carbon out factor;eta_waste_co2;0.15;in tCO2 per MWh
Waste Incineration;existing heat generation capacity ;C_waste_t0;150;in MW
Industrial excess;max hourly production;q_ind_max;10;in MWh/h
Industrial excess;existing heat generation capacity ;C_industrial_t0;13;in MW
Solar thermal;existing heat generation capacity ;C_solarthermal_t0;16.5;in MW
Geothermal;existing heat generation capacity ;C_geothermal_t0;1;in MW
CHP;Max share of hydrogen (blending);eta_max_h2_share;0.2;in %
CHP;Ration between energy inflow and heat output;eta_chp_to_heat;0.65;in %
CHP;Ration between energy inflow and elec output;eta_chp_to_elec;0.35;in %
Electric boiler;existing heat generation capacity;C_EB_t0;1;in MW
Geothermal;specific investment cost;c_inv_geo;22;in EUR/MW
Electric boiler;specific investment cost;c_inv_eb;9;
Electric boiler;specific fixed cost;c_fix_eb;8;
